,Date,URL,User,R+L,Retweets,Likes
0,2020-02-16 00:47:50,https://twitter.com/minyoruminyon/status/1228707498225352704,weiclid,5.0,1.0,4.0
1,2020-02-09 09:26:28,https://twitter.com/minyoruminyon/status/1226301302273036289,weiclid,0.0,0.0,0.0
2,2020-02-04 22:15:45,https://twitter.com/minyoruminyon/status/1224682958419722240,weiclid,1.0,0.0,1.0
3,2020-02-04 22:14:04,https://twitter.com/minyoruminyon/status/1224682534602043392,weiclid,1.0,0.0,1.0
4,2020-02-03 21:24:22,https://twitter.com/minyoruminyon/status/1224307637853937666,weiclid,14.0,3.0,11.0
5,2020-02-01 19:12:07,https://twitter.com/minyoruminyon/status/1223549583659110401,weiclid,4.0,0.0,4.0
6,2020-02-01 19:07:12,https://twitter.com/minyoruminyon/status/1223548345777442822,weiclid,1.0,0.0,1.0
7,2020-02-01 19:04:07,https://twitter.com/minyoruminyon/status/1223547567419490305,weiclid,13.0,4.0,9.0
8,2020-01-31 22:48:11,https://twitter.com/minyoruminyon/status/1223241569395822595,weiclid,4.0,1.0,3.0
9,2020-01-31 17:47:46,https://twitter.com/minyoruminyon/status/1223165967867334656,weiclid,1.0,0.0,1.0
10,2020-01-31 17:35:41,https://twitter.com/minyoruminyon/status/1223162926111973376,weiclid,1.0,0.0,1.0
11,2020-01-31 17:28:02,https://twitter.com/minyoruminyon/status/1223161001358446592,weiclid,7.0,0.0,7.0
12,2020-01-31 17:26:30,https://twitter.com/minyoruminyon/status/1223160616472285185,weiclid,4.0,1.0,3.0
13,2020-01-31 17:24:21,https://twitter.com/minyoruminyon/status/1223160075788812289,weiclid,4.0,1.0,3.0
14,2020-01-31 17:21:17,https://twitter.com/minyoruminyon/status/1223159301381873665,weiclid,1.0,0.0,1.0
