,Date,URL,User,R+L,Retweets,Likes
0,2020-06-10 16:04:40,https://twitter.com/minyoruminyon/status/1270612833382756352,horagainantou,0.0,0.0,0.0
1,2020-05-26 11:17:35,https://twitter.com/minyoruminyon/status/1265104765295329280,horagainantou,2.0,2.0,0.0
2,2020-05-22 11:35:40,https://twitter.com/minyoruminyon/status/1263659766829600769,horagainantou,1.0,1.0,0.0
3,2020-05-22 11:12:29,https://twitter.com/minyoruminyon/status/1263653932439486464,horagainantou,3.0,1.0,2.0
4,2020-05-17 14:09:28,https://twitter.com/minyoruminyon/status/1261886530643062785,horagainantou,2.0,1.0,1.0
5,2020-05-17 12:29:21,https://twitter.com/minyoruminyon/status/1261861338386583552,horagainantou,1.0,1.0,0.0
6,2020-05-16 13:09:12,https://twitter.com/minyoruminyon/status/1261508976069316608,horagainantou,5.0,3.0,2.0
7,2020-05-13 20:18:58,https://twitter.com/minyoruminyon/status/1260529968460623873,horagainantou,5.0,1.0,4.0
8,2020-05-13 16:20:52,https://twitter.com/minyoruminyon/status/1260470049149771783,horagainantou,2.0,0.0,2.0
9,2020-05-05 21:01:00,https://twitter.com/minyoruminyon/status/1257641443180470272,horagainantou,4.0,2.0,2.0
10,2020-03-17 21:20:18,https://twitter.com/minyoruminyon/status/1239889295533412355,horagainantou,1.0,0.0,1.0
11,2020-03-17 21:19:04,https://twitter.com/minyoruminyon/status/1239888982420254721,horagainantou,0.0,0.0,0.0
12,2020-02-25 18:43:27,https://twitter.com/minyoruminyon/status/1232239676641071104,horagainantou,1.0,0.0,1.0
13,2020-02-24 11:48:50,https://twitter.com/minyoruminyon/status/1231772948001746945,horagainantou,3.0,0.0,3.0
14,2020-02-24 11:40:28,https://twitter.com/minyoruminyon/status/1231770840997322755,horagainantou,4.0,1.0,3.0
15,2020-02-24 11:39:42,https://twitter.com/minyoruminyon/status/1231770648915009538,horagainantou,0.0,0.0,0.0
16,2020-02-06 19:33:35,https://twitter.com/minyoruminyon/status/1225366922176286726,horagainantou,7.0,2.0,5.0
17,2020-02-05 07:59:04,https://twitter.com/minyoruminyon/status/1224829755855265792,horagainantou,1.0,1.0,0.0
18,2020-01-12 00:12:35,https://twitter.com/minyoruminyon/status/1216015053998047232,horagainantou,2.0,0.0,2.0
19,2020-01-08 11:31:11,https://twitter.com/minyoruminyon/status/1214736273635627008,horagainantou,6.0,3.0,3.0
20,2020-01-03 23:44:51,https://twitter.com/minyoruminyon/status/1213108970849652736,horagainantou,3.0,1.0,2.0
21,2020-01-03 23:00:25,https://twitter.com/minyoruminyon/status/1213097786494861312,horagainantou,4.0,2.0,2.0
22,2020-01-02 13:58:39,https://twitter.com/minyoruminyon/status/1212599059371806721,horagainantou,6.0,1.0,5.0
23,2019-12-28 07:16:51,https://twitter.com/minyoruminyon/status/1210686004056621057,horagainantou,2.0,0.0,2.0
24,2019-12-27 15:05:20,https://twitter.com/minyoruminyon/status/1210441513076850688,horagainantou,0.0,0.0,0.0
25,2019-12-27 14:56:55,https://twitter.com/minyoruminyon/status/1210439393946718209,horagainantou,0.0,0.0,0.0
26,2019-10-05 17:05:07,https://twitter.com/minyoruminyon/status/1180393464829071362,horagainantou,1.0,0.0,1.0
27,2019-09-13 15:58:56,https://twitter.com/minyoruminyon/status/1172404278754824193,horagainantou,1.0,0.0,1.0
28,2019-06-11 13:03:48,https://twitter.com/minyoruminyon/status/1138295744190750725,horagainantou,0.0,0.0,0.0
29,2019-06-06 13:57:39,https://twitter.com/minyoruminyon/status/1136497354737983489,horagainantou,10.0,3.0,7.0
30,2019-06-06 13:39:57,https://twitter.com/minyoruminyon/status/1136492901058220032,horagainantou,0.0,0.0,0.0
