,Date,URL,User,R+L,Retweets,Likes
0,2020-06-24 20:00:39,https://twitter.com/minyoruminyon/status/1275745650592763906,tkoyama010,3.0,1.0,2.0
1,2020-06-24 19:59:50,https://twitter.com/minyoruminyon/status/1275745443406725120,tkoyama010,4.0,1.0,3.0
2,2020-06-24 19:54:53,https://twitter.com/minyoruminyon/status/1275744195332866049,tkoyama010,4.0,1.0,3.0
3,2020-06-24 19:52:28,https://twitter.com/minyoruminyon/status/1275743587821445120,tkoyama010,3.0,1.0,2.0
4,2020-06-24 19:23:24,https://twitter.com/minyoruminyon/status/1275736276243607555,tkoyama010,7.0,2.0,5.0
5,2020-01-01 01:06:10,https://twitter.com/minyoruminyon/status/1212042271870177280,tkoyama010,12.0,3.0,9.0
6,2020-01-01 01:05:34,https://twitter.com/minyoruminyon/status/1212042119767941120,tkoyama010,1.0,0.0,1.0
7,2019-08-10 18:19:47,https://twitter.com/minyoruminyon/status/1160118534300557315,tkoyama010,4.0,1.0,3.0
8,2019-08-10 18:17:19,https://twitter.com/minyoruminyon/status/1160117915686821888,tkoyama010,0.0,0.0,0.0
9,2019-05-18 16:39:01,https://twitter.com/minyoruminyon/status/1129652595016982528,tkoyama010,4.0,2.0,2.0
