,Date,URL,User,R+L,Retweets,Likes
0,2020-02-19 20:35:33,https://twitter.com/minyoruminyon/status/1230093559090384897,pigman3141,1.0,0.0,1.0
1,2020-01-29 09:40:35,https://twitter.com/minyoruminyon/status/1222318586288459776,pigman3141,4.0,2.0,2.0
2,2020-01-28 17:47:37,https://twitter.com/minyoruminyon/status/1222078765343199232,pigman3141,13.0,6.0,7.0
3,2020-01-09 09:33:06,https://twitter.com/minyoruminyon/status/1215068946157563904,pigman3141,9.0,2.0,7.0
4,2019-12-09 22:14:20,https://twitter.com/minyoruminyon/status/1204026494839689217,pigman3141,1.0,1.0,0.0
5,2019-10-26 10:13:26,https://twitter.com/minyoruminyon/status/1187900006973329410,pigman3141,0.0,0.0,0.0
6,2019-10-25 09:15:04,https://twitter.com/minyoruminyon/status/1187522931829555200,pigman3141,1.0,0.0,1.0
7,2019-10-25 09:01:27,https://twitter.com/minyoruminyon/status/1187519503422259203,pigman3141,2.0,1.0,1.0
8,2019-10-22 12:30:57,https://twitter.com/minyoruminyon/status/1186485061782142976,pigman3141,2.0,0.0,2.0
9,2019-10-22 12:27:49,https://twitter.com/minyoruminyon/status/1186484276117700608,pigman3141,2.0,1.0,1.0
10,2019-08-07 16:27:11,https://twitter.com/minyoruminyon/status/1159003036678623232,pigman3141,2.0,1.0,1.0
11,2019-08-07 16:02:17,https://twitter.com/minyoruminyon/status/1158996769482522624,pigman3141,3.0,1.0,2.0
12,2019-08-07 15:20:11,https://twitter.com/minyoruminyon/status/1158986173231984640,pigman3141,3.0,1.0,2.0
13,2019-07-04 14:47:11,https://twitter.com/minyoruminyon/status/1146656680114962432,pigman3141,1.0,0.0,1.0
14,2019-06-29 11:23:42,https://twitter.com/minyoruminyon/status/1144793535847096320,pigman3141,2.0,1.0,1.0
15,2019-06-27 09:05:20,https://twitter.com/minyoruminyon/status/1144033939515830272,pigman3141,1.0,1.0,0.0
